id,acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6,acc_x_7,acc_y_7,acc_z_7,acc_x_8,acc_y_8,acc_z_8,acc_x_9,acc_y_9,acc_z_9,acc_x_10,acc_y_10,acc_z_10,acc_x_11,acc_y_11,acc_z_11,acc_x_12,acc_y_12,acc_z_12,acc_x_13,acc_y_13,acc_z_13,acc_x_14,acc_y_14,acc_z_14,acc_x_15,acc_y_15,acc_z_15,acc_x_16,acc_y_16,acc_z_16,acc_x_17,acc_y_17,acc_z_17,acc_x_18,acc_y_18,acc_z_18,acc_x_19,acc_y_19,acc_z_19,acc_x_20,acc_y_20,acc_z_20,acc_x_21,acc_y_21,acc_z_21,acc_x_22,acc_y_22,acc_z_22,acc_x_23,acc_y_23,acc_z_23,acc_x_24,acc_y_24,acc_z_24,acc_x_25,acc_y_25,acc_z_25,acc_x_26,acc_y_26,acc_z_26,acc_x_27,acc_y_27,acc_z_27,acc_x_28,acc_y_28,acc_z_28,acc_x_29,acc_y_29,acc_z_29,acc_x_30,acc_y_30,acc_z_30,acc_x_31,acc_y_31,acc_z_31,acc_x_32,acc_y_32,acc_z_32,acc_x_33,acc_y_33,acc_z_33,acc_x_34,acc_y_34,acc_z_34,acc_x_35,acc_y_35,acc_z_35,acc_x_36,acc_y_36,acc_z_36,acc_x_37,acc_y_37,acc_z_37,acc_x_38,acc_y_38,acc_z_38,acc_x_39,acc_y_39,acc_z_39,acc_x_40,acc_y_40,acc_z_40,acc_x_41,acc_y_41,acc_z_41,acc_x_42,acc_y_42,acc_z_42,acc_x_43,acc_y_43,acc_z_43,acc_x_44,acc_y_44,acc_z_44,acc_x_45,acc_y_45,acc_z_45,acc_x_46,acc_y_46,acc_z_46,acc_x_47,acc_y_47,acc_z_47,acc_x_48,acc_y_48,acc_z_48,acc_x_49,acc_y_49,acc_z_49,acc_x_50,acc_y_50,acc_z_50,activity
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.738611221,9.611522675,1.571194887,0.738611221,9.611522675,1.571194887,1.307234168,10.07120991,1.000177741,1.307234168,10.07120991,1.000177741,3.860051632,9.440936089,2.631826162,3.860051632,9.440936089,2.631826162,1.166574836,8.347982407,3.166930199,1.166574836,8.347982407,3.166930199,3.106476784,7.832032204,3.933673382,-0.071227498,8.344391823,6.752247334,-0.071227498,8.344391823,6.752247334,5.019443989,8.054693222,1.304839969,5.019443989,8.054693222,1.304839969,0.678157628,9.558850288,1.209071875,0.678157628,9.558850288,1.209071875,-1.621473074,9.891644478,0.978629947,-1.621473074,9.891644478,0.978629947,0.270544797,9.903017044,1.324592113,0.02932897,13.55058289,1.59932673,0.02932897,13.55058289,1.59932673,2.740762472,10.61349583,2.468421936,2.740762472,10.61349583,2.468421936,3.081936121,8.5191679,2.794033289,3.081936121,8.5191679,2.794033289,1.509544134,5.68682766,4.94642067,1.509544134,5.68682766,4.94642067,1.451484799,8.477270126,7.301716805,0.143053547,5.078700542,-0.507570744,0.143053547,5.078700542,-0.507570744,1.626860023,9.566033363,0.240617275,1.626860023,9.566033363,0.240617275,-2.315791607,9.668384552,1.792060018,-2.315791607,9.668384552,1.792060018,-0.457891077,10.60930634,0.664390981,-0.457891077,10.60930634,0.664390981,0.572812736,9.649829865,0.727238774,-0.328604192,8.70172596,2.291849613,-0.328604192,8.70172596,2.291849613,2.016516447,7.481281757,5.625176907,2.016516447,7.481281757,5.625176907,-0.306457818,9.876680374,6.212953568,-0.306457818,9.876680374,6.212953568,5.526416302,14.10005283,3.508104086,5.526416302,14.10005283,3.508104086,-0.896628559,12.22419548,0.356736064,1.681926727,8.85196209,3.366247654,1.681926727,8.85196209,3.366247654,0.831985116,9.484629631,0.952293754,0.831985116,9.484629631,0.952293754,0.015562311,12.19845772,0.671573579,Walking
2,0.015562311,12.19845772,0.671573579,4.619612217,9.859322548,2.603694439,4.619612217,9.859322548,2.603694439,2.137423515,6.891110897,2.433107376,-0.636259079,8.684368134,3.476979494,-0.636259079,8.684368134,3.476979494,1.268328309,8.488043785,4.856039524,1.268328309,8.488043785,4.856039524,2.114678621,7.477091789,-0.466869324,2.114678621,7.477091789,-0.466869324,-3.45722723,9.274538994,0.699106872,-3.45722723,9.274538994,0.699106872,0.403422982,10.16637897,-0.022744916,1.646013618,9.095572472,1.323395014,1.646013618,9.095572472,1.323395014,1.556231141,10.51653099,1.995567083,1.556231141,10.51653099,1.995567083,1.926733851,9.326612473,1.423951507,1.926733851,9.326612473,1.423951507,1.41257906,8.774150848,3.547608376,1.41257906,8.774150848,3.547608376,-0.478840351,8.197148323,2.82695365,0.89004451,7.705139637,4.629787445,0.89004451,7.705139637,4.629787445,2.058414936,7.050325394,0.307654917,2.058414936,7.050325394,0.307654917,0.585980892,9.606734276,1.086967587,0.585980892,9.606734276,1.086967587,-0.127491236,9.62469101,0.979228497,-0.127491236,9.62469101,0.979228497,0.161608621,9.613917351,1.026513934,-0.467467874,11.11987019,0.918176353,-0.467467874,11.11987019,0.918176353,3.101688385,8.605359077,2.407369852,3.101688385,8.605359077,2.407369852,0.20530279,9.43614769,2.522890091,0.20530279,9.43614769,2.522890091,1.021725535,6.341042995,4.855441093,1.021725535,6.341042995,4.855441093,0.210689753,9.391854286,7.335235596,8.653243065,15.97411346,0.723048925,8.653243065,15.97411346,0.723048925,-5.032013416,11.70465374,4.862623692,-5.032013416,11.70465374,4.862623692,0.637456179,9.577404976,0.479438901,0.637456179,9.577404976,0.479438901,1.625064373,9.676764488,1.095347285,1.625064373,9.676764488,1.095347285,-1.990778685,12.299613,1.159392118,4.030638695,11.54304504,4.792593479,Walking
3,4.030638695,11.54304504,4.792593479,3.851073503,7.12993288,3.293823004,3.851073503,7.12993288,3.293823004,0.685938776,6.912060261,5.436035156,0.685938776,6.912060261,5.436035156,1.641823769,6.965331078,5.349843502,2.283469915,4.876390457,-2.967014551,2.283469915,4.876390457,-2.967014551,2.541445017,8.73704052,0.872087955,2.541445017,8.73704052,0.872087955,0.745793819,10.02033234,2.065597534,0.745793819,10.02033234,2.065597534,-0.472854823,9.21528244,2.053027868,-0.472854823,9.21528244,2.053027868,2.659359455,8.067861557,1.596333981,0.568024337,7.824251175,1.128267527,0.568024337,7.824251175,1.128267527,0.902015507,6.623558998,3.757101059,0.902015507,6.623558998,3.757101059,-1.270722508,8.826224327,4.600458622,-1.270722508,8.826224327,4.600458622,2.026691675,9.47146225,7.091625214,2.026691675,9.47146225,7.091625214,-1.277905107,9.661801338,0.572812736,-0.211886853,10.40879154,1.097741485,-0.211886853,10.40879154,1.097741485,0.686537325,9.37449646,2.281075716,0.686537325,9.37449646,2.281075716,1.565807939,9.543288231,1.094150186,1.565807939,9.543288231,1.094150186,2.621052265,9.655815125,2.319981337,2.621052265,9.655815125,2.319981337,0.312443316,9.664195061,3.12383461,-0.74339962,9.06205368,4.3897686,-0.74339962,9.06205368,4.3897686,0.303465068,7.473500729,6.115988255,0.303465068,7.473500729,6.115988255,4.104260445,6.811503887,1.137844324,4.104260445,6.811503887,1.137844324,2.302024841,9.35953331,1.48679924,2.302024841,9.35953331,1.48679924,-0.380079508,9.275136948,1.405994892,0.461482376,10.02332497,1.335366011,0.461482376,10.02332497,1.335366011,-1.048660398,11.8722477,3.241749048,-1.048660398,11.8722477,3.241749048,3.743334293,10.48959637,1.623268723,3.743334293,10.48959637,1.623268723,4.095282078,6.369773388,5.443217754,4.095282078,6.369773388,5.443217754,Walking
4,-0.515351892,7.770381451,6.241085052,0.079607204,10.28668785,6.664858818,0.079607204,10.28668785,6.664858818,3.611054659,16.06509399,-4.617218018,3.611054659,16.06509399,-4.617218018,0.281917244,9.381080627,3.867832899,0.281917244,9.381080627,3.867832899,1.470039845,8.904036522,2.034472942,1.470039845,8.904036522,2.034472942,-0.767341673,9.703101158,2.60189867,3.734356165,9.51276207,2.296638012,3.734356165,9.51276207,2.296638012,1.308431268,8.313266754,1.793855667,1.308431268,8.313266754,1.793855667,-0.081402861,5.670068264,3.216609955,-0.081402861,5.670068264,3.216609955,-0.587776542,7.762600422,6.114192486,-0.587776542,7.762600422,6.114192486,0.021547815,1.403002143,1.557428241,4.233547211,9.196128845,0.327407092,4.233547211,9.196128845,0.327407092,1.85849905,9.820416451,1.496376038,1.85849905,9.820416451,1.496376038,-0.380079508,10.0855751,0.66858083,-0.380079508,10.0855751,0.66858083,1.608903527,10.40041256,0.688931525,1.608903527,10.40041256,0.688931525,3.220201254,6.986878872,0.140060797,1.716642618,8.282142639,3.210026026,1.716642618,8.282142639,3.210026026,0.670975029,9.372700691,4.843470097,0.670975029,9.372700691,4.843470097,2.56478858,8.195352554,5.563526154,2.56478858,8.195352554,5.563526154,-0.260968,9.960477829,1.333570361,-0.260968,9.960477829,1.333570361,1.778293371,9.261969566,1.217451572,2.099714994,8.978256226,1.406593442,2.099714994,8.978256226,1.406593442,1.788468719,9.169194221,2.237980127,1.788468719,9.169194221,2.237980127,1.259948611,11.2982378,2.518101692,1.259948611,11.2982378,2.518101692,0.738012671,7.618350029,0.997783542,0.738012671,7.618350029,0.997783542,0.721253276,7.828441143,4.663905144,-1.517923832,7.645883083,4.393958569,-1.517923832,7.645883083,4.393958569,3.001730442,14.02463531,6.039972305,3.001730442,14.02463531,6.039972305,Walking
5,2.266111851,11.79144382,0.118512981,2.266111851,11.79144382,0.118512981,-0.04189853,9.431359291,2.259527922,-0.04189853,9.431359291,2.259527922,1.617283225,9.419387817,1.959055543,0.37169981,10.13226128,1.331774712,0.37169981,10.13226128,1.331774712,-1.118690729,10.52550888,0.834977865,-1.118690729,10.52550888,0.834977865,-1.324592113,7.794323444,0.956483603,-1.324592113,7.794323444,0.956483603,1.122282028,7.372944355,3.555389643,1.122282028,7.372944355,3.555389643,-0.367509961,9.350554466,6.349422932,7.038354397,14.72493935,3.357867956,7.038354397,14.72493935,3.357867956,-3.855861902,13.43925285,6.412270546,-3.855861902,13.43925285,6.412270546,0.951695204,9.500790596,1.617283225,0.951695204,9.500790596,1.617283225,0.761356115,9.008183479,1.146822572,0.761356115,9.008183479,1.146822572,-0.423175156,10.14542961,2.090138197,4.641758442,9.845556259,2.444479942,4.641758442,9.845556259,2.444479942,1.360505104,7.940968513,1.238400817,1.360505104,7.940968513,1.238400817,1.18872118,7.024587631,3.538031578,1.18872118,7.024587631,3.538031578,0.500986695,8.443750381,6.238690853,0.500986695,8.443750381,6.238690853,6.595427036,14.08448982,0.682946026,-4.223970413,12.61684418,9.104550362,-4.223970413,12.61684418,9.104550362,2.764704466,8.750208855,2.251148224,2.764704466,8.750208855,2.251148224,1.460463047,8.890868187,0.902015507,1.460463047,8.890868187,0.902015507,-1.878849745,10.46146393,1.22822547,-1.878849745,10.46146393,1.22822547,3.45722723,8.379107475,2.26970315,0.745793819,9.723451614,3.142988205,0.745793819,9.723451614,3.142988205,2.061407566,5.702389717,4.036025524,2.061407566,5.702389717,4.036025524,-0.841561913,8.709506989,6.265027523,-0.841561913,8.709506989,6.265027523,8.850166321,15.03917789,1.485003591,8.850166321,15.03917789,1.485003591,-4.010287762,9.012373924,10.32439613,Walking
6,-0.330399841,8.571840286,0.525527298,-0.330399841,8.571840286,0.525527298,0.08499416,9.800664902,1.936310649,0.08499416,9.800664902,1.936310649,-0.586579442,10.72722054,2.415150881,-0.586579442,10.72722054,2.415150881,5.631761074,13.56075859,4.098274708,5.631761074,13.56075859,4.098274708,2.965218782,7.041347027,0.741603971,1.18812263,6.213551998,3.989338636,1.18812263,6.213551998,3.989338636,1.839345455,7.453748226,5.589263916,1.839345455,7.453748226,5.589263916,2.092532396,5.049371243,5.16549015,2.092532396,5.049371243,5.16549015,1.289876223,9.509170532,0.357334614,-1.653196216,9.951498985,0.320823014,-1.653196216,9.951498985,0.320823014,0.763151765,9.585784912,1.163581967,0.763151765,9.585784912,1.163581967,-0.245405674,11.82496262,1.11450088,-0.245405674,11.82496262,1.11450088,5.736507416,12.77486134,4.881777287,5.736507416,12.77486134,4.881777287,3.224989653,7.269993305,2.497152328,0.842759013,7.092224121,5.209783077,0.842759013,7.092224121,5.209783077,1.164180517,7.939771175,5.407903194,1.164180517,7.939771175,5.407903194,0.864905357,5.100248337,3.312378168,0.864905357,5.100248337,3.312378168,-2.00693965,9.24461174,0.311246216,-2.00693965,9.24461174,0.311246216,0.227449164,10.24119759,0.814028561,1.513135433,9.446921349,1.166574836,1.513135433,9.446921349,1.166574836,0.684741676,9.52772522,0.749385118,0.684741676,9.52772522,0.749385118,5.694608688,9.43914032,3.060986757,5.694608688,9.43914032,3.060986757,2.249352455,8.175002098,2.11946702,2.249352455,8.175002098,2.11946702,3.897161722,9.02973175,3.769670486,2.090138197,7.612364292,4.134786129,2.090138197,7.612364292,4.134786129,1.480215192,11.19289303,5.966948986,1.480215192,11.19289303,5.966948986,2.493561029,10.79964542,3.559579372,2.493561029,10.79964542,3.559579372,1.446696401,9.223063469,0.938527048,Walking
7,1.446696401,9.223063469,0.938527048,-0.347159237,9.937732697,0.278924495,-0.585382342,10.17116737,1.273715258,-0.585382342,10.17116737,1.273715258,0.441730201,12.17152309,1.148618221,0.441730201,12.17152309,1.148618221,3.177704096,8.570643425,0.237624526,3.177704096,8.570643425,0.237624526,4.044404984,6.695384979,3.949235678,4.044404984,6.695384979,3.949235678,-0.628477931,7.204153061,6.545148849,2.370858192,7.183802128,6.35421133,2.370858192,7.183802128,6.35421133,0.852335811,6.638522625,-3.04841733,0.852335811,6.638522625,-3.04841733,2.56778121,8.921394348,1.979406238,2.56778121,8.921394348,1.979406238,0.995987892,9.642647743,2.255337954,0.995987892,9.642647743,2.255337954,0.690727174,8.871714592,0.547673643,-0.537498295,13.22138023,1.9333179,-0.537498295,13.22138023,1.9333179,3.242946148,11.15039539,1.696890473,3.242946148,11.15039539,1.696890473,5.976525784,6.823474884,4.38917017,5.976525784,6.823474884,4.38917017,-0.137068048,7.009624004,5.292382717,-0.137068048,7.009624004,5.292382717,1.966238141,5.612008572,5.308543682,2.080561161,5.449801445,-1.332373261,2.080561161,5.449801445,-1.332373261,1.689707875,9.224859238,2.286462545,1.689707875,9.224859238,2.286462545,0.107140526,9.087791443,1.762730956,0.107140526,9.087791443,1.762730956,-0.146046311,11.0624094,1.973420739,-0.146046311,11.0624094,1.973420739,-1.062427044,11.53346825,1.949478745,3.811569214,8.271368027,3.380014181,3.811569214,8.271368027,3.380014181,1.624465823,8.463502884,1.37546885,1.624465823,8.463502884,1.37546885,0.769735873,6.50444746,3.746925592,0.769735873,6.50444746,3.746925592,1.141435623,9.989806175,6.771999359,1.141435623,9.989806175,6.771999359,8.362347603,14.74349403,7.191583157,-4.747103214,13.22556973,5.959167957,-4.747103214,13.22556973,5.959167957,-1.010951638,9.494805336,1.365892053,Walking
8,-1.010951638,9.494805336,1.365892053,0.15023616,9.515155792,1.238999367,0.15023616,9.515155792,1.238999367,-1.416768909,10.63743782,1.595735431,-1.416768909,10.63743782,1.595735431,3.956418276,8.525154114,1.37666595,0.417189658,8.680178642,1.165976286,0.417189658,8.680178642,1.165976286,-0.653018534,7.529165745,4.890755653,-0.653018534,7.529165745,4.890755653,2.509721994,8.045116425,6.833650112,2.509721994,8.045116425,6.833650112,2.505532026,4.104260445,0.708683729,2.505532026,4.104260445,0.708683729,1.82258606,9.181763649,-0.005985504,0.82001406,9.475651741,1.643619418,0.82001406,9.475651741,1.643619418,0.140659347,9.473855972,0.144250646,0.140659347,9.473855972,0.144250646,1.400009394,10.31781197,0.736815572,1.400009394,10.31781197,0.736815572,0.460883826,8.451532364,0.458489627,0.460883826,8.451532364,0.458489627,3.588309765,7.205349922,4.133589268,-1.061229944,8.135497093,5.980117321,-1.061229944,8.135497093,5.980117321,1.507748485,7.885303497,5.035604954,1.507748485,7.885303497,5.035604954,1.00496614,8.273762703,-4.57771349,1.00496614,8.273762703,-4.57771349,4.039018154,8.946533203,2.240972757,4.039018154,8.946533203,2.240972757,0.475249052,9.654019356,1.04087913,1.159990668,9.971850395,0.794874966,1.159990668,9.971850395,0.794874966,-0.351947635,12.36305904,0.180762231,-0.351947635,12.36305904,0.180762231,3.894767523,10.38664532,2.494159698,3.894767523,10.38664532,2.494159698,0.946906745,8.225878716,3.063979626,0.946906745,8.225878716,3.063979626,0.701501071,6.940790653,4.599860191,0.878073454,8.795100212,7.339425087,0.878073454,8.795100212,7.339425087,1.953668594,3.27167654,2.949058056,1.953668594,3.27167654,2.949058056,0.531512797,9.879673004,-1.031302333,0.531512797,9.879673004,-1.031302333,1.07679224,9.986813545,1.18752408,1.07679224,9.986813545,1.18752408,Walking
9,1.736993313,9.748590469,0.839167714,1.29945302,10.99596977,-0.314238966,1.29945302,10.99596977,-0.314238966,1.223437071,9.459490776,2.137423515,1.223437071,9.459490776,2.137423515,2.698265314,8.036736488,2.606088638,2.698265314,8.036736488,2.606088638,1.204882026,8.778939247,3.153762102,1.204882026,8.778939247,3.153762102,0.315436065,8.50420475,4.374206543,3.257311344,8.271966934,0.988805294,3.257311344,8.271966934,0.988805294,-0.59615624,8.950124741,0.489015698,-0.59615624,8.950124741,0.489015698,0.192733243,10.04188061,1.345541358,0.192733243,10.04188061,1.345541358,0.553659141,9.441534042,-0.172382519,-0.578199685,9.772532463,0.279523045,-0.578199685,9.772532463,0.279523045,-0.624886632,11.32158089,-0.809838712,-0.624886632,11.32158089,-0.809838712,0.533906996,8.653243065,-0.14903906,0.533906996,8.653243065,-0.14903906,1.997961283,7.365761757,3.573346138,1.997961283,7.365761757,3.573346138,0.612317085,7.272387505,5.283404827,2.625840664,10.29267311,5.564723492,2.625840664,10.29267311,5.564723492,1.865681648,12.5258646,-0.20410569,1.865681648,12.5258646,-0.20410569,2.293645144,8.361749649,3.244741917,2.293645144,8.361749649,3.244741917,1.456871748,9.26256752,1.720233917,1.456871748,9.26256752,1.720233917,-0.513556242,9.943120003,0.566228688,3.679289579,9.190741539,1.006761789,3.679289579,9.190741539,1.006761789,-0.29568392,8.916007042,2.859275341,-0.29568392,8.916007042,2.859275341,0.352546215,6.369773388,4.136581898,0.352546215,6.369773388,4.136581898,0.435146153,9.643844604,6.791152954,0.435146153,9.643844604,6.791152954,1.294066072,4.078522682,2.466626406,0.223259315,9.119514465,-0.034715924,0.223259315,9.119514465,-0.034715924,-0.635660529,9.490615845,0.907402456,-0.635660529,9.490615845,0.907402456,0.565630138,9.567828178,0.943315446,0.565630138,9.567828178,0.943315446,Walking
